candidate_id,material_id,formula,formation_energy,target_label,fail_low,fail_high,group_key,chemsys,nelements,center_metal,generator_free,structure_hash,cif_path,source_cif
1520623,mp-1520623,KEuMnBiO6,-1.940842486018105,0,0,1,Bi-Eu-K-Mn-O,Bi-Eu-K-Mn-O,5,Mn,True,034e80a10323f5fcda1960e581f1b7b96e0265ff3bfb945229206f62002e0a02,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1520623.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1520623.cif
768579,mp-768579,Na2MnBPO7,-2.394092032458264,0,0,1,B-Mn-Na-O-P,B-Mn-Na-O-P,5,Mn,True,eae1caea0a8cfbe13135b0157579860239ed538338922b9beb70dcd40ab0c4c8,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\768579.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\768579.cif
1227846,mp-1227846,Ca3LaMn2(IrO6)2,-2.427286103543104,0,0,1,Ca-Ir-La-Mn-O,Ca-Ir-La-Mn-O,5,Mn,True,d8878e3d14b2f435172aa6f6d1b72c67a682a9a708ef16c0493f54cd1141430f,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1227846.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1227846.cif
2228455,mp-2228455,Ba2YMgMn2TlO7,-2.403855598513957,0,0,1,Ba-Mg-Mn-O-Tl-Y,Ba-Mg-Mn-O-Tl-Y,6,Mn,True,80a4730c524932774e1be950f004073e0b335f08788a00417ac4bca8f271086c,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\2228455.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\2228455.cif
546339,mp-546339,TbMn2BiO6,-1.687390461252874,0,0,1,Bi-Mn-O-Tb,Bi-Mn-O-Tb,4,Mn,True,1e1f081c14858406900d528b1bc843f4f05f2b78c228249c6a5691a6fa3a4d8c,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\546339.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\546339.cif
1173587,mp-1173587,NaMn2FeAg(PO4)3,-1.915743661391831,0,0,1,Ag-Fe-Mn-Na-O-P,Ag-Fe-Mn-Na-O-P,6,Mn,True,c5e417a463b4fe58b47993f0051c370a89c7d39de253202d87e22102e387b375,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1173587.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1173587.cif
1517829,mp-1517829,BaNaNdMnO6,-2.307121411681036,0,0,1,Ba-Mn-Na-Nd-O,Ba-Mn-Na-Nd-O,5,Mn,True,7dd33cdc799e3588c5488aebfae4735deff14b6462f735c793ec78201a4e13b6,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1517829.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1517829.cif
1218675,mp-1218675,Sr4NdMn5O15,-2.565099059686207,1,0,0,Mn-Nd-O-Sr,Mn-Nd-O-Sr,4,Mn,True,f5943186069cd6de24ec0621eac9a62031f0a601245590f1c2d658644e282ba9,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1218675.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1218675.cif
24036,mp-24036,Rb2MnH2OF5,-2.5139747232210032,1,0,0,F-H-Mn-O-Rb,F-H-Mn-O-Rb,5,Mn,True,33cecd90fd7aca33c191fdfd9928f6be081ddd7f64f7d74bdb90a897c2d299f1,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\24036.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\24036.cif
699041,mp-699041,Ca5Nd5Mn9CrO30,-2.764111021977586,0,1,0,Ca-Cr-Mn-Nd-O,Ca-Cr-Mn-Nd-O,5,Mn,True,730c33691fbdf26b04b699e7d7daf29ea6804017f527cae89dc0472f9e7f5561,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\699041.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\699041.cif
1215061,mp-1215061,Ba2NaTi2MnRe2Si8HO26F,-2.79842002891425,0,1,0,Ba-F-H-Mn-Na-O-Re-Si-Ti,Ba-F-H-Mn-Na-O-Re-Si-Ti,9,Mn,True,ef5d7f7713eb249e9c57c24c4bbfe11608f4c2d661d72cbbc473c440c3e7b1d9,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1215061.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1215061.cif
1077691,mp-1077691,SrCa7Mn6(FeO10)2,-2.502615706946839,1,0,0,Ca-Fe-Mn-O-Sr,Ca-Fe-Mn-O-Sr,5,Mn,True,2ac044e4cd90f3698edc9890d99da56a3a99f3a57f62332a97378b7d0a9ce279,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1077691.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1077691.cif
510487,mp-510487,CeMnSbO,-1.776625294482758,0,0,1,Ce-Mn-O-Sb,Ce-Mn-O-Sb,4,Mn,True,992a2e910f4be305bf8140fa62b9a2469817349f09b53c53912259f6561ba58d,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\510487.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\510487.cif
1177150,mp-1177150,Li5Mn3Cu(PO4)4,-2.500294795483834,1,0,0,Cu-Li-Mn-O-P,Cu-Li-Mn-O-P,5,Mn,True,55f8b72af27a443a2e3020b8c21268e59cd9d7b2421a4a24da2239aa0a6d744b,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1177150.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1177150.cif
1516942,mp-1516942,NaCeMnWO6,-2.470723776931033,1,0,0,Ce-Mn-Na-O-W,Ce-Mn-Na-O-W,5,Mn,True,9adfaadf71b1bebd1a10ea2bca3bcc5e8f7082d6d92aa8b13291b1c358668cdb,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1516942.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1516942.cif
1076592,mp-1076592,BaSr7MnFe7O24,-2.242268337948276,0,0,1,Ba-Fe-Mn-O-Sr,Ba-Fe-Mn-O-Sr,5,Mn,True,d9fc3a82c11746a677656f2a4d10bad7ab9608ab278a848c1536baf2a9ddc91e,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1076592.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1076592.cif
1197360,mp-1197360,Na2Mn3P2H2(C4O9)2,-1.457830910238213,0,0,1,C-H-Mn-Na-O-P,C-H-Mn-Na-O-P,6,Mn,True,b26451bb7ab0d29ddccff6f56c4ff4eaf8263e97e4bd1a118d4d247678ae3f07,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1197360.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1197360.cif
565428,mp-565428,Mn4Bi3NO15,-1.637260138770615,0,0,1,Bi-Mn-N-O,Bi-Mn-N-O,4,Mn,True,42740675901fcef901d652f0d5ab2ccceacc77da2994db84f70adab513a8540f,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\565428.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\565428.cif
1042474,mp-1042474,BaMnAlCuO5,-2.081436422547893,0,0,1,Al-Ba-Cu-Mn-O,Al-Ba-Cu-Mn-O,5,Mn,True,2114986c5617e8c203ac4677854b1cdfa957442fab5283b1a56495736a72d761,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1042474.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1042474.cif
1048385,mp-1048385,YMn3Se2ClO8,-2.035307214565373,0,0,1,Cl-Mn-O-Se-Y,Cl-Mn-O-Se-Y,5,Mn,True,3e7bc8212e623e318e349e6ea4f18e335674dfbee0e8565d26af1f9f62ffaf08,D:\CGCNN\Mn_MultinaryOxide_GeneratorFree_Pool_2000_20260527\1048385.cif,D:\CGCNN\MP_Formation_Full_CGCNN_20260524\1048385.cif
