candidate_id,path,name,size_bytes,mtime_utc,sha256,NSW,interpreted_role
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/OSZICAR,OSZICAR,1965,2026-07-05T01:54:39.710218+00:00,393eecf58f903595688bc40db548ab147de6c4a1d7c7f035854db9b664554d89,,log_or_unknown
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/OUTCAR,OUTCAR,222811,2026-07-05T01:54:39.710218+00:00,75e2b894f28893a45b0376dea766f82f90fbe1947a2a6f6b4e2e766d2446061e,0,static
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/relax.log,relax.log,22488,2026-07-05T01:51:36.792201+00:00,f54aa7f3547b9c751659350bec03e62f403214b600b4f9ecd9149541edd78d86,,log_or_unknown
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/static.log,static.log,3875,2026-07-05T01:54:39.710218+00:00,19c6b2215ebd8bb4598555c2040f7ea177c821db5ccaf4911d45bea89af64c39,,log_or_unknown
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/OSZICAR,OSZICAR,2058,2026-07-05T11:45:56.401505+00:00,44ab1dcac3a026e4e8b1209b01efa3cb87181784ab227e39f46721760fcd4383,,log_or_unknown
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/OUTCAR,OUTCAR,230887,2026-07-05T11:45:56.401505+00:00,c91c7d6d4cb91568a69c16fe0ad120205338fe6c5074934c5150ae50d368fcc4,0,static
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/relax.log,relax.log,10899,2026-07-05T11:41:46.197587+00:00,90c06fbcd47f055ecd3623f097ee98be7f2ea0fc97016efb2a6a48ad91b53d74,,log_or_unknown
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_008_LiCr2O4_job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2/static.log,static.log,2529,2026-07-05T11:45:56.401505+00:00,6ad9dd55d712920464aa176f5c9c35e349d52ed7c20af6db1ad39471545e854f,,log_or_unknown
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_002_LiCr2O4_job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0/OSZICAR,OSZICAR,2151,2026-07-05T01:31:33.648811+00:00,c0079fa09aedfebec8b722a42aea1ed3e030fbf4bfcd35eb81dda2cd5e32e413,,log_or_unknown
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_002_LiCr2O4_job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0/OUTCAR,OUTCAR,226921,2026-07-05T01:31:33.648811+00:00,cb5de2f2b36bfe96b82868f5906098efffaac1a14f83a2ebe40e4d8769b020bc,0,static
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_002_LiCr2O4_job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0/relax.log,relax.log,37237,2026-07-05T01:27:19.705490+00:00,ed95331c63f348e64566c9308ad1d167db0cb4613c66835ee4f04f72068eae77,,log_or_unknown
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_002_LiCr2O4_job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0/static.log,static.log,4061,2026-07-05T01:31:33.648811+00:00,2547ed0eeda133d4604875e514ba54e4e0b161f859564c102860c90531675022,,log_or_unknown
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/OSZICAR,OSZICAR,2151,2026-07-05T01:09:14.755926+00:00,de83655a520aa283b6d0701ecaa1cae0ebed9bc7f6e7806d50b0b5a572e199d7,,log_or_unknown
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/OUTCAR,OUTCAR,226957,2026-07-05T01:09:14.755926+00:00,b1af6c29f351dbf317318aa36cdbd7e94588fd98f38d9a3fc60edc458b0451e0,0,static
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/relax.log,relax.log,20134,2026-07-05T01:05:52.097443+00:00,6f1da99153e7bffc1b1f72f3bafea0fa41f3a31df42ccb735bc1450890a521b5,,log_or_unknown
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/static.log,static.log,4061,2026-07-05T01:09:14.755926+00:00,52486317f71f09c74e7c95d2f72015344cfecd3e962af61128466ec6ea69b883,,log_or_unknown
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/OSZICAR,OSZICAR,2151,2026-07-05T11:46:45.030245+00:00,c3881fb08b04b06583783c7e61e9649576da35d4d8b53f63d9dcbdef986782ea,,log_or_unknown
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/OUTCAR,OUTCAR,233027,2026-07-05T11:46:45.030245+00:00,73373ed485dbd5c51798a4640729d375821b65d4e4fb2d12505967100b3501a7,0,static
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/relax.log,relax.log,11378,2026-07-05T11:42:16.450072+00:00,d54d7a8c4d6c12ab1d6f2a1487e63c9d4cbd5b7a08d601543aa5969ac8fd6d21,,log_or_unknown
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_005_LiCr2O4_job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0/static.log,static.log,2622,2026-07-05T11:46:45.030245+00:00,0531aab935e8818f4ef941d29dc8481d04b77fb0b3966e6eaf3d8faafed13da0,,log_or_unknown
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_004_LiCr2O4_job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1/OSZICAR,OSZICAR,2430,2026-07-05T00:58:16.408751+00:00,b563197d24df3eacd246cd02e341d040dfe3540b2bc4bfa5f9a87d64569e3807,,log_or_unknown
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_004_LiCr2O4_job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1/OUTCAR,OUTCAR,235344,2026-07-05T00:58:16.408751+00:00,6ade55568c09596d5506985c7a67aa914436afce709bacfb344e8e62f92ff81d,0,static
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_004_LiCr2O4_job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1/relax.log,relax.log,9680,2026-07-05T00:54:01.206428+00:00,347f8a74fd3efd7ed67dd3b52a74d29ce0cf12903198ffd6f87d4d56d86f79be,,log_or_unknown
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_004_LiCr2O4_job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1/static.log,static.log,4340,2026-07-05T00:58:16.408751+00:00,028c6e393efd3a67c86d9d4c4ffbdede81dcb3eeb6edcffe962be68d839eb31c,,log_or_unknown
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/OSZICAR,OSZICAR,1872,2026-07-05T01:41:23.998438+00:00,dcb9e5f297ed42e4e6d05aeb3a54be5ce880f35373289d8a484923756b083089,,log_or_unknown
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/OUTCAR,OUTCAR,246145,2026-07-05T01:41:23.998438+00:00,f9a8959cb80d1370889e40cfecc1d452e103ab356bb99338a6710c17c06130bb,0,static
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/relax.log,relax.log,44776,2026-07-05T01:38:17.729740+00:00,ef4872d6840575e2a21a6a095c2c179de67d3b6bc66790b15ccd8623c9b9a250,,log_or_unknown
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/static.log,static.log,3782,2026-07-05T01:41:23.998438+00:00,9e066db07bdf3a33452fded73b4643045da28252cb2f7d227d136a08d96e5aef,,log_or_unknown
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/OSZICAR,OSZICAR,1872,2026-07-05T12:38:51.283463+00:00,fb65c55d62f226f70290c8024445ae70d1d5bd1a80a48a76629b107e26904794,,log_or_unknown
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/OUTCAR,OUTCAR,253195,2026-07-05T12:38:51.283463+00:00,75ca642cad5f5535f8e67dd4014116d08870d798c5e51fc8bc2ea396efd972d5,0,static
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/relax.log,relax.log,50326,2026-07-05T12:35:05.288291+00:00,d9a82695b3bdb5dddfcaa4f08e6cf000dcb4cd549e9424adbf5ea77f897c30c2,,log_or_unknown
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs_gga_u/candidate_003_LiMn2O4_job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1/static.log,static.log,2343,2026-07-05T12:38:51.283463+00:00,8ca502b3558d154c7b9e0f3f7181b5f8ce5efdc2786e44f31bc1147d1e4b5f35,,log_or_unknown
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_007_LiCr2O4_job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2/OSZICAR,OSZICAR,5685,2026-07-05T01:53:21.185382+00:00,43792228b163642869f5c15dbe9a79e32fae8d7160c4d284a1348b2ff780a944,,log_or_unknown
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_007_LiCr2O4_job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2/OUTCAR,OUTCAR,310291,2026-07-05T01:53:21.185382+00:00,03ae2ec3c39155098c1f8dac08cbf9ae8fed86a2ca08ea78c4c468672d4c2e49,0,static
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_007_LiCr2O4_job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2/relax.log,relax.log,24358,2026-07-05T01:43:24.184905+00:00,56a389897fdaa6d8d89c24f5c0fed986580aeb1b0547251fcb45bc1f13c79fb2,,log_or_unknown
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_007_LiCr2O4_job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2/static.log,static.log,8954,2026-07-05T01:53:21.185382+00:00,cfb30187dcbb56509fd26dcf5a4db31897f918b5f8e32b8fbe0f1aa1e45b8a20,,log_or_unknown
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_001_LiCr2O4_job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2/OSZICAR,OSZICAR,2895,2026-07-05T00:42:22.967990+00:00,9c9b741789899a83b96ec483a0e1353019554d65d7ddb762ded4973cb463b341,,log_or_unknown
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_001_LiCr2O4_job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2/OUTCAR,OUTCAR,242953,2026-07-05T00:42:22.967990+00:00,cb10960e2bc1f5ad3bb838c193ff779f58e7f0baf3c68db123859eda1fc4b663,0,static
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2,/root/dft_limo/outputs/dft_candidate_selection/vasp_inputs/candidate_001_LiCr2O4_job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2/relax.log,relax.log,19464,2026-07-05T00:37:20.677120+00:00,8074954b0c480a12a6a3937b6619629340e8c02b6982eb4c11f68395192f23c0,,log_or_unknown
