path,bytes,sha256
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\energy_gated_da_tpp\seed_5\al_history.csv,135299,3f1aec031141d5ac5416ba51e649dbfdcdccefb23f57a8b7af2aa36f0a3aa301
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\energy_gated_da_tpp\seed_6\al_history.csv,135249,00d37eabf63b3d5276f8f9c1a27ed6e4797e9a727b1207fc985bf8ac8fb41063
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\energy_gated_da_tpp\seed_7\al_history.csv,135300,dc1151285b7a71ec72c744d5520a6c3e43c4fef5bbca5a81b1f27a5726cee89d
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\energy_gated_da_tpp\seed_8\al_history.csv,135301,6a09ab4b19125751eaf0f84a77df7d16522543ab4e0f1203385a7d441debf8fc
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\energy_gated_da_tpp\seed_9\al_history.csv,135269,80dcdf4d8269acb58c576ea8f18a5df4291abd06d61106752358111d9bb202f1
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\predicted_distance_greedy\seed_5\al_history.csv,145065,88fbebb18d4346ae8929e70a42fc09d9ddd6ded6f90cbea07558b4a8a3c14a9e
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\predicted_distance_greedy\seed_6\al_history.csv,144987,855b6b7760781fd7c1a03554e00740ad7bcb37f82e175082d6cae116cf17a1a7
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\predicted_distance_greedy\seed_7\al_history.csv,144988,e982c3c2b42c5ac1d73dabadcb18c37bbb8298a92fe5514d5276eb5d8f69d11b
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\predicted_distance_greedy\seed_8\al_history.csv,145019,f77c342883a10172a40708197ce290a3da6b87c9a8e79da0ce08231625e39123
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_20260712\runs\limo\predicted_distance_greedy\seed_9\al_history.csv,144987,cefbedc8e506235edb3228fa50280b331163fcac7962b64f3aac9858ba212df4
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\energy_gated_da_tpp\seed_10\al_history.csv,135343,9772b147077b3c33fad0c762e60c98fd01340f91b97edb3cfe993aad4566b45d
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\energy_gated_da_tpp\seed_11\al_history.csv,135269,a86bff85260884956d6a52976ca7108958a7676a6587056e0b24e4d90139ef53
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\energy_gated_da_tpp\seed_12\al_history.csv,135272,1f2636b491d8ee863ab26f71463841d8a7a026eb420b2fa6d6220d3bab329ad9
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\energy_gated_da_tpp\seed_13\al_history.csv,135246,1e540e4cb5017e7b6b1c6316ce7bede620ff78d3c49a6785315f184e95a96a77
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\energy_gated_da_tpp\seed_14\al_history.csv,135263,56a7cae9c8d8b722b84c4b7b3b257c357b243bc87190397d1232e83023aa7ff5
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\predicted_distance_greedy\seed_10\al_history.csv,145046,479b6ccc6e64256a993438b7a8c46ff7580e0b4219f5b122a7e14d8f76ad58d6
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\predicted_distance_greedy\seed_11\al_history.csv,144990,b570b6e4796735f5457d8c4db2ab083b196c437e53be72f64f6de23f54f34e72
C:\Users\leoluis0705\Documents\Codex\2026-07-27\referenced-chatgpt-conversation-this-is-untrusted-4\work\3sys\baseline_snapshot\archive\experiments\reproducibility\results\paired_two_dataset_confirmation_seeds_10_14_20260713\runs\limo\predicted_distance_greedy\seed_12\al_history.csv,145073,7b1ad2aa6eb922a9b81fd96d0a52df4e2b8214822bc56b6f804311be5d5d0767
